Whole Shape	Block Shape	threads	tiledcuda(ms)	cublass(ms)	Ratio
[4096, 4096, 4096]	[64, 64, 32]	64	5.9914	1.1724	5.111
[4096, 4096, 4096]	[64, 64, 64]	64	5.9888	1.1707	5.116
[4096, 4096, 4096]	[64, 64, 128]	64	5.9867	1.1716	5.110
[4096, 4096, 4096]	[64, 128, 32]	64	16.0461	1.1674	13.745
[4096, 4096, 4096]	[64, 128, 64]	64	16.0509	1.1719	13.697
[4096, 4096, 4096]	[64, 128, 128]	64	16.0398	1.1604	13.823
[4096, 4096, 4096]	[128, 64, 32]	64	34.3775	1.1600	29.637
[4096, 4096, 4096]	[128, 64, 64]	64	34.3982	1.1609	29.630
[4096, 4096, 4096]	[128, 64, 128]	64	34.3969	1.1655	29.512
[4096, 4096, 4096]	[128, 128, 32]	64	43.8837	1.1807	37.166
[4096, 4096, 4096]	[128, 128, 64]	64	43.8381	1.1738	37.348
[4096, 4096, 4096]	[128, 128, 128]	64	43.8916	1.1869	36.981
[4096, 4096, 4096]	[64, 64, 32]	128	7.3912	1.1813	6.257
[4096, 4096, 4096]	[64, 64, 64]	128	7.3723	1.1880	6.206
[4096, 4096, 4096]	[64, 64, 128]	128	7.3662	1.1850	6.216
[4096, 4096, 4096]	[64, 128, 32]	128	5.7933	1.1911	4.864
[4096, 4096, 4096]	[64, 128, 64]	128	5.8072	1.1886	4.886
[4096, 4096, 4096]	[64, 128, 128]	128	5.7934	1.1789	4.914
[4096, 4096, 4096]	[64, 256, 32]	128	7.3386	1.1928	6.152
[4096, 4096, 4096]	[64, 256, 64]	128	7.3736	1.1739	6.282
[4096, 4096, 4096]	[64, 256, 128]	128	7.3461	1.1859	6.195
[4096, 4096, 4096]	[128, 64, 32]	128	6.1024	1.1914	5.122
[4096, 4096, 4096]	[128, 64, 64]	128	6.1106	1.1903	5.133
[4096, 4096, 4096]	[128, 64, 128]	128	6.1113	1.1887	5.141
[4096, 4096, 4096]	[128, 128, 32]	128	15.1929	1.1080	13.712
[4096, 4096, 4096]	[128, 128, 64]	128	15.2033	1.1844	12.836
[4096, 4096, 4096]	[128, 128, 128]	128	15.1893	1.1902	12.762
[4096, 4096, 4096]	[128, 256, 32]	128	39.2131	1.1827	33.154
[4096, 4096, 4096]	[128, 256, 64]	128	39.2458	1.1709	33.516
[4096, 4096, 4096]	[128, 256, 128]	128	39.2677	1.1807	33.259
[4096, 4096, 4096]	[256, 64, 32]	128	32.4715	1.2009	27.040
[4096, 4096, 4096]	[256, 64, 64]	128	32.4707	1.1753	27.628
[4096, 4096, 4096]	[256, 64, 128]	128	32.4664	1.1391	28.502
[4096, 4096, 4096]	[256, 128, 32]	128	43.0764	1.1726	36.735
[4096, 4096, 4096]	[256, 128, 64]	128	43.0507	1.1910	36.147
[4096, 4096, 4096]	[256, 128, 128]	128	43.0509	1.1681	36.855
[4096, 4096, 4096]	[256, 256, 32]	128	61.9698	1.1816	52.447
[4096, 4096, 4096]	[256, 256, 64]	128	62.0543	1.1669	53.178
[4096, 4096, 4096]	[256, 256, 128]	128	62.1130	1.2047	51.561
[4096, 4096, 4096]	[64, 64, 32]	256	10.6182	1.2056	8.807
[4096, 4096, 4096]	[64, 64, 64]	256	10.6076	1.2992	8.165
[4096, 4096, 4096]	[64, 64, 128]	256	10.5932	1.2016	8.816
[4096, 4096, 4096]	[64, 128, 32]	256	8.4877	1.1952	7.102
[4096, 4096, 4096]	[64, 128, 64]	256	8.5016	1.1936	7.123
[4096, 4096, 4096]	[64, 128, 128]	256	8.4969	1.1885	7.149
[4096, 4096, 4096]	[64, 256, 32]	256	6.3628	1.1879	5.356
[4096, 4096, 4096]	[64, 256, 64]	256	6.3676	1.1892	5.355
[4096, 4096, 4096]	[64, 256, 128]	256	6.4064	1.1929	5.370
[4096, 4096, 4096]	[128, 64, 32]	256	10.0489	1.1975	8.392
[4096, 4096, 4096]	[128, 64, 64]	256	10.0595	1.2113	8.305
[4096, 4096, 4096]	[128, 64, 128]	256	10.0677	1.1967	8.413
[4096, 4096, 4096]	[128, 128, 32]	256	6.7134	1.1869	5.656
[4096, 4096, 4096]	[128, 128, 64]	256	6.7187	1.2006	5.596
[4096, 4096, 4096]	[128, 128, 128]	256	6.7081	1.2052	5.566
[4096, 4096, 4096]	[128, 256, 32]	256	13.3616	1.1973	11.160
[4096, 4096, 4096]	[128, 256, 64]	256	13.3668	1.1865	11.266
[4096, 4096, 4096]	[128, 256, 128]	256	13.3707	1.1879	11.256
[4096, 4096, 4096]	[256, 64, 32]	256	26.5970	1.2018	22.131
[4096, 4096, 4096]	[256, 64, 64]	256	26.5959	1.2010	22.145
[4096, 4096, 4096]	[256, 64, 128]	256	26.5951	1.2076	22.024
[4096, 4096, 4096]	[256, 128, 32]	256	27.7468	1.1983	23.156
[4096, 4096, 4096]	[256, 128, 64]	256	27.7627	1.1962	23.209
[4096, 4096, 4096]	[256, 128, 128]	256	27.7632	1.2021	23.096
[4096, 4096, 4096]	[256, 256, 32]	256	41.6771	1.1890	35.053
[4096, 4096, 4096]	[256, 256, 64]	256	41.6792	1.2029	34.650
[4096, 4096, 4096]	[256, 256, 128]	256	41.6877	1.1910	35.001
